Decisions,$x_{1}$,$x_{2}$,$x_{3}$,$x_{4}$,$x_{5}$,$x_{6}$,$x_{7}$,$x_{8}$,$x_{9}$,$x_{10}$,$x_{11}$,$x_{12}$,$x_{13}$,$x_{14}$,$x_{15}$,$x_{16}$,$x_{17}$,$x_{18}$
1,5,5,7,2,14,2,11,2,2,31.89,80.33,33.42,23.32,40.41,26.62,63.68,24.71,4.69
2,3,6,2,2,2,7,12,2,14,98.36,43.13,38.82,54.03,91.45,42.74,22.9,29.08,78.51
3,2,1,3,12,8,3,9,2,10,14.62,19.98,50.37,31.71,31.12,63.65,12.91,68.23,22.01
4,9,2,6,4,7,14,1,2,5,89.01,66.72,83.35,15.17,59.15,17.19,46.21,25.14,67.15
5,5,5,16,1,4,7,3,2,7,62.27,5.71,22.87,45.19,21.53,79.31,57.25,84.51,46.01
6,2,5,3,15,6,1,7,9,2,28.93,3.76,1.87,22.3,8.44,1.16,53.27,43.18,20.63
7,28,2,4,1,7,1,14,7,11,14.72,13.15,21.49,20.59,9.64,19.73,85.27,29.34,50.52
8,13,4,20,9,2,11,8,3,5,17.9,20.98,60.65,12.2,30.72,3.19,10.14,8.88,43.05
9,4,2,1,8,4,3,32,6,15,1.85,18.93,22.12,3.48,29.25,6.82,23.69,30.68,39.73
10,6,5,4,13,6,2,21,7,11,29.26,20.3,29.9,4.56,28.15,27,2.77,10.96,32.88
11,8,10,8,7,2,4,9,10,17,19.06,30.82,18.7,6.85,11.36,4.63,8.44,27.75,28.81
12,5,7,10,10,9,5,14,1,14,13.04,6.13,39.9,28.37,12.88,20.06,23.68,17.87,33.22
